--- 分析日志 for: .\VAH12.csv ---
--- 协议: Short cruise (400 sec) ---

发现 16583 个由Ns变化定义的片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5075.45    | 其他充电阶段                              | I= 1504.2mA, V=3.90V, P=  5.87W
2        | 5085.45         | 1837.59    | 恒压充电 (CV Charge)                    | I=  467.9mA, V=4.20V, P=  1.97W
3        | 6933.04         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7823.08         | 3599.95    | RPT: C/5 容量测试放电                     | I= -594.6mA, V=4.07V, P= -2.42W
5        | 11423.04        | 30.00      | RPT: IR测量前静置                        | I=  -63.1mA, V=4.02V, P= -0.25W
6        | 11453.04        | 7200.00    | RPT: C/5 容量测试放电                     | I= -594.7mA, V=3.81V, P= -2.26W
7        | 18653.03        | 30.00      | RPT: IR测量前静置                        | I=  -63.3mA, V=3.65V, P= -0.23W
8        | 18683.03        | 7723.45    | RPT: C/5 容量测试放电                     | I= -594.7mA, V=3.30V, P= -1.96W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3060.80 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26416.48        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.75V, P=  0.00W
10       | 27336.48        | 3051.78    | 恒流充电 (CC Charge)                    | I= 3004.0mA, V=3.80V, P= 11.43W
11       | 30418.26        | 1926.12    | 恒压充电 (CV Charge)                    | I=  924.3mA, V=4.20V, P=  3.88W
12       | 32374.38        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33244.43        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14344.6mA, V=3.74V, P=-53.60W
14       | 33319.38        | 400.00     | 任务剖面: 巡航 (Cruise)                   | I=-4225.2mA, V=3.89V, P=-16.41W
15       | 33719.38        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15101.7mA, V=3.49V, P=-52.54W
16       | 33854.38        | 881.19     | 静置 (Rest)                           | I=    0.0mA, V=3.83V, P=  0.00W
17       | 34765.57        | 869.93     | 恒流充电 (CC Charge)                    | I= 3004.2mA, V=4.07V, P= 12.23W
18       | 35665.51        | 1615.71    | 恒压充电 (CV Charge)                    | I=  994.4mA, V=4.20V, P=  4.18W
19       | 37311.22        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 38181.26        | 74.96      | 任务剖面: 起飞 (Take-off)                 | I=-14333.4mA, V=3.74V, P=-53.61W
