--- 分析日志 for: VAH13.csv ---
--- 协议: Short cruise (600 sec) ---

清洗后发现 7329 个有效片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5153.97    | 其他充电阶段                              | I= 1505.1mA, V=3.90V, P=  5.87W
2        | 5163.97         | 1671.51    | 恒压充电 (CV Charge)                    | I=  453.1mA, V=4.20V, P=  1.90W
3        | 6845.48         | 880.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7735.53         | 3599.95    | RPT: C/5 容量测试放电                     | I= -594.8mA, V=4.07V, P= -2.42W
5        | 11335.48        | 30.00      | RPT: IR测量前静置                        | I=  -62.1mA, V=4.02V, P= -0.25W
6        | 11365.48        | 7200.00    | RPT: C/5 容量测试放电                     | I= -594.9mA, V=3.81V, P= -2.27W
7        | 18565.48        | 30.00      | RPT: IR测量前静置                        | I=  -62.4mA, V=3.65V, P= -0.23W
8        | 18595.48        | 7622.59    | RPT: C/5 容量测试放电                     | I= -594.9mA, V=3.30V, P= -1.96W
9        | 26228.07        | 890.00     | 静置 (Rest)                           | I=    0.0mA, V=2.74V, P=  0.00W
10       | 27148.07        | 3063.10    | 恒流充电 (CC Charge)                    | I= 3005.0mA, V=3.81V, P= 11.44W
11       | 30241.17        | 1744.33    | 恒压充电 (CV Charge)                    | I=  977.1mA, V=4.20V, P=  4.10W
12       | 32015.50        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 32885.55        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14324.4mA, V=3.75V, P=-53.60W
14       | 32960.51        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4230.8mA, V=3.85V, P=-16.29W
15       | 33560.50        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15463.5mA, V=3.40V, P=-52.45W
16       | 33695.50        | 815.59     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
17       | 34541.09        | 1168.55    | 恒流充电 (CC Charge)                    | I= 3005.1mA, V=4.03V, P= 12.12W
18       | 35739.64        | 1593.86    | 恒压充电 (CV Charge)                    | I=  991.3mA, V=4.20V, P=  4.16W
19       | 37363.50        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 38233.54        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14314.5mA, V=3.75V, P=-53.61W
21       | 38308.50        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4230.0mA, V=3.85V, P=-16.29W
22       | 38908.50        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15474.5mA, V=3.40V, P=-52.45W
23       | 39043.49        | 878.37     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
24       | 39951.86        | 1175.54    | 恒流充电 (CC Charge)                    | I= 3004.8mA, V=4.04V, P= 12.13W
25       | 41157.41        | 1554.29    | 恒压充电 (CV Charge)                    | I= 1008.6mA, V=4.20V, P=  4.24W
26       | 42741.70        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 43611.75        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14300.3mA, V=3.75V, P=-53.61W
28       | 43686.70        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4227.9mA, V=3.85V, P=-16.28W
29       | 44286.70        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15476.0mA, V=3.40V, P=-52.45W
30       | 44421.70        | 936.51     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
31       | 45388.21        | 1177.11    | 恒流充电 (CC Charge)                    | I= 3004.6mA, V=4.04V, P= 12.13W
32       | 46595.33        | 1467.43    | 恒压充电 (CV Charge)                    | I= 1057.1mA, V=4.20V, P=  4.44W
33       | 48092.76        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 48962.81        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14297.2mA, V=3.75V, P=-53.61W
35       | 49037.76        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4228.2mA, V=3.85V, P=-16.29W
36       | 49637.76        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15485.0mA, V=3.40V, P=-52.45W
37       | 49772.76        | 951.48     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
38       | 50754.24        | 1180.46    | 恒流充电 (CC Charge)                    | I= 3004.9mA, V=4.03V, P= 12.12W
39       | 51964.70        | 1548.15    | 恒压充电 (CV Charge)                    | I= 1003.6mA, V=4.20V, P=  4.22W
40       | 53542.85        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 54412.89        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14295.3mA, V=3.75V, P=-53.61W
42       | 54487.85        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4227.7mA, V=3.86V, P=-16.29W
43       | 55087.85        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15489.0mA, V=3.40V, P=-52.46W
44       | 55222.84        | 923.47     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
45       | 56176.31        | 1179.38    | 恒流充电 (CC Charge)                    | I= 3004.8mA, V=4.03V, P= 12.12W
46       | 57385.69        | 1559.41    | 恒压充电 (CV Charge)                    | I=  999.3mA, V=4.20V, P=  4.20W
47       | 58975.10        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 59845.15        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14295.1mA, V=3.75V, P=-53.61W
49       | 59920.10        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4227.9mA, V=3.85V, P=-16.29W
50       | 60520.10        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15497.1mA, V=3.40V, P=-52.46W
51       | 60655.10        | 930.30     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
52       | 61615.40        | 1181.33    | 恒流充电 (CC Charge)                    | I= 3004.5mA, V=4.03V, P= 12.12W
53       | 62826.73        | 1534.73    | 恒压充电 (CV Charge)                    | I=  996.2mA, V=4.20V, P=  4.18W
54       | 64391.46        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
55       | 65261.51        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14293.0mA, V=3.75V, P=-53.61W
56       | 65336.47        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4227.8mA, V=3.85V, P=-16.29W
57       | 65936.46        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15500.3mA, V=3.40V, P=-52.46W
58       | 66071.46        | 904.84     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
59       | 67006.31        | 1185.03    | 恒流充电 (CC Charge)                    | I= 3004.9mA, V=4.03V, P= 12.12W
60       | 68221.34        | 1538.22    | 恒压充电 (CV Charge)                    | I=  991.6mA, V=4.20V, P=  4.17W
61       | 69789.56        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
62       | 70659.61        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14293.0mA, V=3.75V, P=-53.61W
63       | 70734.56        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4228.2mA, V=3.85V, P=-16.29W
64       | 71334.56        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15509.5mA, V=3.39V, P=-52.46W
65       | 71469.56        | 863.00     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
66       | 72362.56        | 1179.10    | 恒流充电 (CC Charge)                    | I= 3004.7mA, V=4.03V, P= 12.12W
67       | 73571.66        | 1569.39    | 恒压充电 (CV Charge)                    | I=  983.1mA, V=4.20V, P=  4.13W
68       | 75171.05        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
69       | 76041.10        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14308.5mA, V=3.75V, P=-53.61W
70       | 76116.05        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4230.4mA, V=3.85V, P=-16.29W
71       | 76716.05        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15536.0mA, V=3.39V, P=-52.46W
72       | 76851.05        | 798.90     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
73       | 77679.95        | 1179.80    | 恒流充电 (CC Charge)                    | I= 3004.5mA, V=4.03V, P= 12.12W
74       | 78889.75        | 1558.83    | 恒压充电 (CV Charge)                    | I= 1002.2mA, V=4.20V, P=  4.21W
75       | 80478.58        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
76       | 81348.63        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14296.9mA, V=3.75V, P=-53.61W
77       | 81423.58        | 600.00     | 任务剖面: 巡航 (Cruise)                   | I=-4228.9mA, V=3.85V, P=-16.29W
78       | 82023.58        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-15520.7mA, V=3.39V, P=-52.46W
79       | 82158.58        | 851.36     | 静置 (Rest)                           | I=    0.0mA, V=3.76V, P=  0.00W
80       | 83039.94        | 1185.16    | 恒流充电 (CC Charge)                    | I= 3005.0mA, V=4.03V, P= 12.12W
81       | 84255.10        | 1552.32    | 恒压充电 (CV Charge)                    | I=  991.9mA, V=4.20V, P=  4.17W
82       | 85837.42        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
83       | 86707.46        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14286.9mA, V=3.76V, P=-53.62W
