--- 分析日志 for: .\VAH22.csv ---
--- 协议: Extended cruise (1000 sec) ---

发现 5378 个由Ns变化定义的片段。

片段 #     | 起始时间(s)         | 持续(s)      | 状态标签                                | 依据 (I, V, P)
--------------------------------------------------------------------------------------------------------------
1        | 0.00            | 5106.61    | 其他充电阶段                              | I= 1489.1mA, V=3.90V, P=  5.81W
2        | 5136.61         | 1789.22    | 恒压充电 (CV Charge)                    | I=  435.4mA, V=4.20V, P=  1.83W
3        | 6955.83         | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
4        | 7825.89         | 3599.94    | RPT: C/5 容量测试放电                     | I= -611.3mA, V=4.07V, P= -2.48W
5        | 11425.83        | 30.00      | RPT: IR测量前静置                        | I=  -78.5mA, V=4.02V, P= -0.32W
6        | 11455.83        | 7200.00    | RPT: C/5 容量测试放电                     | I= -611.0mA, V=3.81V, P= -2.33W
7        | 18655.83        | 30.00      | RPT: IR测量前静置                        | I=  -77.7mA, V=3.64V, P= -0.28W
8        | 18685.83        | 7606.77    | RPT: C/5 容量测试放电                     | I= -611.0mA, V=3.30V, P= -2.02W

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> RPT完成 & 验证点 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
>>> 在此RPT之前已完成的任务循环次数: 0
>>> 结论: 计数符合'每50个循环一次RPT'的规则。
>>> 数据点记录: Capacity = 3125.64 mAh, Cycle Number = 1
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 验证完成 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

9        | 26322.61        | 870.00     | 静置 (Rest)                           | I=    0.0mA, V=2.76V, P=  0.00W
10       | 27222.60        | 3060.20    | 恒流充电 (CC Charge)                    | I= 2988.9mA, V=3.81V, P= 11.38W
11       | 30312.80        | 1843.65    | 恒压充电 (CV Charge)                    | I=  934.4mA, V=4.20V, P=  3.92W
12       | 32186.45        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
13       | 33056.50        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14337.9mA, V=3.75V, P=-53.66W
14       | 33131.45        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4297.4mA, V=3.78V, P=-16.22W
15       | 34131.45        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16452.0mA, V=3.21V, P=-52.54W
16       | 34266.45        | 1074.76    | 静置 (Rest)                           | I=    0.0mA, V=3.61V, P=  0.00W
17       | 35371.21        | 1753.28    | 恒流充电 (CC Charge)                    | I= 2989.0mA, V=3.96V, P= 11.84W
18       | 37154.48        | 1756.70    | 恒压充电 (CV Charge)                    | I=  948.0mA, V=4.20V, P=  3.98W
19       | 38941.18        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
20       | 39811.24        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14327.8mA, V=3.75V, P=-53.67W
21       | 39886.18        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4296.7mA, V=3.78V, P=-16.22W
22       | 40886.18        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16473.0mA, V=3.20V, P=-52.55W
23       | 41021.18        | 1079.61    | 静置 (Rest)                           | I=    0.0mA, V=3.61V, P=  0.00W
24       | 42130.79        | 1754.26    | 恒流充电 (CC Charge)                    | I= 2988.8mA, V=3.96V, P= 11.84W
25       | 43915.05        | 1752.83    | 恒压充电 (CV Charge)                    | I=  945.0mA, V=4.20V, P=  3.97W
26       | 45697.88        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
27       | 46567.93        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14322.9mA, V=3.75V, P=-53.67W
28       | 46642.88        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4296.8mA, V=3.78V, P=-16.22W
29       | 47642.88        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16493.9mA, V=3.20V, P=-52.54W
30       | 47777.88        | 1068.88    | 静置 (Rest)                           | I=    0.0mA, V=3.61V, P=  0.00W
31       | 48876.76        | 1755.55    | 恒流充电 (CC Charge)                    | I= 2988.9mA, V=3.96V, P= 11.84W
32       | 50662.31        | 1745.37    | 恒压充电 (CV Charge)                    | I=  943.2mA, V=4.20V, P=  3.96W
33       | 52437.67        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
34       | 53307.73        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14319.1mA, V=3.75V, P=-53.67W
35       | 53382.68        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4296.5mA, V=3.78V, P=-16.22W
36       | 54382.67        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16517.2mA, V=3.19V, P=-52.54W
37       | 54517.67        | 1057.14    | 静置 (Rest)                           | I=    0.0mA, V=3.61V, P=  0.00W
38       | 55604.81        | 1756.36    | 恒流充电 (CC Charge)                    | I= 2989.2mA, V=3.96V, P= 11.84W
39       | 57391.18        | 1753.85    | 恒压充电 (CV Charge)                    | I=  942.7mA, V=4.20V, P=  3.96W
40       | 59175.03        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
41       | 60045.08        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14320.0mA, V=3.75V, P=-53.68W
42       | 60120.03        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4296.3mA, V=3.78V, P=-16.22W
43       | 61120.03        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16533.7mA, V=3.19V, P=-52.54W
44       | 61255.03        | 1105.91    | 静置 (Rest)                           | I=    0.0mA, V=3.60V, P=  0.00W
45       | 62390.93        | 1762.41    | 恒流充电 (CC Charge)                    | I= 2989.5mA, V=3.96V, P= 11.84W
46       | 64183.34        | 1723.24    | 恒压充电 (CV Charge)                    | I=  949.0mA, V=4.20V, P=  3.99W
47       | 65936.58        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
48       | 66806.63        | 74.95      | 任务剖面: 起飞 (Take-off)                 | I=-14314.9mA, V=3.75V, P=-53.68W
49       | 66881.58        | 1000.00    | 任务剖面: 巡航 (Cruise)                   | I=-4296.3mA, V=3.78V, P=-16.22W
50       | 67881.58        | 105.00     | 任务剖面: 降落 (Landing)                  | I=-16542.8mA, V=3.19V, P=-52.54W
51       | 68016.58        | 1157.89    | 静置 (Rest)                           | I=    0.0mA, V=3.60V, P=  0.00W
52       | 69204.47        | 1763.54    | 恒流充电 (CC Charge)                    | I= 2989.5mA, V=3.96V, P= 11.83W
53       | 70998.01        | 1635.75    | 恒压充电 (CV Charge)                    | I=  991.9mA, V=4.20V, P=  4.17W
54       | 72663.76        | 840.00     | 静置 (Rest)                           | I=    0.0mA, V=4.19V, P=  0.00W
